Date,Verida DAO,Network Growth Rewards,Community Res,Storage Credits,Project Development,Token Launch,Advisors - A,Advisors - B,Private Round,Seed Round,Total
"16 May 2024",0,0,0,"5,250,000",0,"18,000,000",0,0,0,0,"24,000,000"
16 Jun 2024,"4,166,667","4,166,667","3,208,333","35,000,000","4,166,667","18,000,000","343,750","229,167","1,666,667","4,166,667","87,114,583"
16 Jul 2024,"8,333,333","8,333,333","6,416,667","35,000,000","8,333,333","18,000,000","687,500","458,333","3,333,333","8,333,333","121,229,167"
16 Aug 2024,"12,500,000","12,500,000","9,625,000","35,000,000","12,500,000","18,000,000","1,031,250","687,500","5,000,000","12,500,000","155,343,750"
16 Sep 2024,"16,666,667","16,666,667","12,833,333","35,000,000","16,666,667","18,000,000","1,375,000","916,667","6,666,667","16,666,667","183,458,333"
16 Oct 2024,"20,833,333","20,833,333","16,041,667","35,000,000","20,833,333","18,000,000","1,718,750","1,145,833","8,333,333","20,833,333","205,572,917"
16 Nov 2024,"25,000,000","25,000,000","19,250,000","35,000,000","25,000,000","18,000,000","2,062,500","1,375,000","10,000,000","25,000,000","227,687,500"
16 Dec 2024,"29,166,667","29,166,667","22,458,333","35,000,000","29,166,667","18,000,000","2,406,250","1,604,167","11,666,667","29,166,667","249,802,083"
16 Jan 2025,"33,333,333","33,333,333","25,666,667","35,000,000","33,333,333","18,000,000","2,750,000","1,833,333","13,333,333","33,333,333","271,916,667"
16 Feb 2025,"37,500,000","37,500,000","28,875,000","35,000,000","37,500,000","18,000,000","3,093,750","2,062,500","15,000,000","37,500,000","294,031,250"
16 Mar 2025,"41,666,667","41,666,667","32,083,333","35,000,000","41,666,667","18,000,000","3,437,500","2,291,667","16,666,667","41,666,667","316,145,833"
16 Apr 2025,"45,833,333","45,833,333","35,291,667","35,000,000","45,833,333","18,000,000","3,781,250","2,520,833","18,333,333","45,833,333","338,260,417"
16 May 2025,"50,000,000","50,000,000","38,500,000","35,000,000","50,000,000","18,000,000","4,125,000","2,750,000","20,000,000","50,000,000","360,375,000"
16 Jun 2025,"54,166,667","54,166,667","41,708,333","35,000,000","54,166,667","18,000,000","4,468,750","2,750,000","21,666,667","54,166,667","382,260,417"
16 Jul 2025,"58,333,333","58,333,333","44,916,667","35,000,000","58,333,333","18,000,000","4,812,500","2,750,000","23,333,333","58,333,333","404,145,833"
